transaction_id,card_id,amount,merchant_name,merchant_category,date,location,status
1,352,7344,tata cliq,ecommerce,2024-09-01,mumbai,pending
2,425,1908,flipkart,ecommerce,2024-09-01,kolkata,failed
3,345,7788,amazon,ecommerce,2024-09-01,ahmedabad,pending
4,162,1977,flipkart,ecommerce,2024-09-01,hyderabad,failed
5,452,2373,big bazaar,retail,2024-09-01,mumbai,pending
6,149,8808,nykaa,beauty,2024-09-01,pune,completed
7,82,1914,snapdeal,ecommerce,2024-09-01,cochin,completed
8,133,8035,croma,electronics,2024-09-01,bangalore,pending
9,436,3819,tata cliq,ecommerce,2024-09-01,jaipur,failed
10,405,5431,myntra,fashion,2024-09-01,pune,pending
11,190,5927,amazon,ecommerce,2024-09-01,surat,completed
12,77,8683,lenskart,eyewear,2024-09-01,delhi,failed
13,94,8128,bookmyshow,entertainment,2024-09-01,surat,failed
14,411,4907,dominos,food,2024-09-01,pune,pending
15,427,465,jabong,ecommerce,2024-09-01,pune,pending
16,217,6327,amazon,ecommerce,2024-09-02,delhi,pending
17,171,8415,jabong,ecommerce,2024-09-02,hyderabad,failed
18,115,1596,bookmyshow,entertainment,2024-09-02,ahmedabad,completed
19,348,5961,croma,electronics,2024-09-02,kolkata,completed
20,443,9270,zomato,food,2024-09-02,ahmedabad,pending
21,191,7027,bookmyshow,entertainment,2024-09-02,delhi,pending
22,355,3049,myntra,fashion,2024-09-02,kolkata,failed
23,47,5690,lenskart,eyewear,2024-09-02,ahmedabad,failed
24,348,600,jabong,ecommerce,2024-09-02,mumbai,completed
25,39,1482,nykaa,beauty,2024-09-02,nagpur,pending
26,480,2494,amazon,ecommerce,2024-09-02,delhi,failed
27,317,2766,croma,electronics,2024-09-02,chennai,pending
28,80,8424,hdfc bank,banking,2024-09-02,kolkata,failed
29,312,5001,myntra,fashion,2024-09-02,nagpur,completed
30,158,6295,hdfc bank,banking,2024-09-02,jaipur,pending
31,284,7293,nykaa,beauty,2024-09-02,ahmedabad,completed
32,21,3037,reliance digital,electronics,2024-09-02,mumbai,failed
33,397,6586,big bazaar,retail,2024-09-02,nagpur,pending
34,279,2058,dominos,food,2024-09-02,delhi,completed
35,232,1474,swiggy,food,2024-09-02,cochin,failed
36,45,4551,snapdeal,ecommerce,2024-09-02,ahmedabad,failed
37,128,1807,bookmyshow,entertainment,2024-09-02,bangalore,failed
38,305,4612,swiggy,food,2024-09-02,bangalore,pending
39,241,4337,croma,electronics,2024-09-02,ahmedabad,pending
40,144,8406,jabong,ecommerce,2024-09-02,hyderabad,completed
41,323,7012,bookmyshow,entertainment,2024-09-03,surat,failed
42,359,6491,lenskart,eyewear,2024-09-03,surat,pending
43,77,2894,dominos,food,2024-09-03,surat,failed
44,98,2888,snapdeal,ecommerce,2024-09-03,mumbai,failed
45,112,2255,swiggy,food,2024-09-03,bangalore,pending
46,143,7188,paytm,finance,2024-09-03,hyderabad,completed
47,114,9692,zomato,food,2024-09-03,delhi,failed
48,161,7099,myntra,fashion,2024-09-03,surat,failed
49,347,6500,swiggy,food,2024-09-03,surat,completed
50,413,1277,croma,electronics,2024-09-03,jaipur,pending
51,4,6942,flipkart,ecommerce,2024-09-03,ahmedabad,failed
52,165,6434,zomato,food,2024-09-03,jaipur,failed
53,5,837,jabong,ecommerce,2024-09-03,hyderabad,failed
54,103,6596,dominos,food,2024-09-03,pune,pending
55,75,8106,croma,electronics,2024-09-03,ahmedabad,completed
56,369,7286,myntra,fashion,2024-09-03,pune,completed
57,41,5350,reliance digital,electronics,2024-09-03,mumbai,completed
58,250,4469,paytm,finance,2024-09-03,chennai,completed
59,40,270,croma,electronics,2024-09-03,hyderabad,failed
60,367,9585,lenskart,eyewear,2024-09-04,jaipur,completed
61,163,4305,paytm,finance,2024-09-04,kolkata,completed
62,42,7227,jabong,ecommerce,2024-09-04,surat,failed
63,174,8513,jabong,ecommerce,2024-09-04,bangalore,failed
64,282,5116,dominos,food,2024-09-04,pune,failed
65,103,6984,zomato,food,2024-09-04,bangalore,pending
66,232,4834,flipkart,ecommerce,2024-09-04,hyderabad,pending
67,278,6183,snapdeal,ecommerce,2024-09-04,hyderabad,completed
68,239,5996,croma,electronics,2024-09-04,hyderabad,completed
69,478,1552,dominos,food,2024-09-04,hyderabad,failed
70,320,5592,tata cliq,ecommerce,2024-09-04,surat,failed
71,475,1511,lenskart,eyewear,2024-09-04,kolkata,failed
72,377,964,flipkart,ecommerce,2024-09-04,jaipur,pending
73,359,7763,croma,electronics,2024-09-04,kolkata,completed
74,122,6479,reliance digital,electronics,2024-09-04,pune,pending
75,469,4294,reliance digital,electronics,2024-09-04,surat,completed
76,360,4677,tata cliq,ecommerce,2024-09-04,surat,pending
77,430,8721,big bazaar,retail,2024-09-04,surat,failed
78,390,717,reliance digital,electronics,2024-09-04,kolkata,completed
79,334,7293,snapdeal,ecommerce,2024-09-04,delhi,pending
80,139,8139,myntra,fashion,2024-09-04,delhi,pending
81,69,2430,paytm,finance,2024-09-04,mumbai,pending
82,300,7070,swiggy,food,2024-09-04,kolkata,pending
83,348,6389,flipkart,ecommerce,2024-09-04,chennai,pending
84,206,3458,dominos,food,2024-09-04,chennai,completed
85,129,5460,jabong,ecommerce,2024-09-04,kolkata,failed
86,465,5393,nykaa,beauty,2024-09-04,mumbai,pending
87,256,7947,reliance digital,electronics,2024-09-04,ahmedabad,failed
88,450,8204,flipkart,ecommerce,2024-09-04,nagpur,pending
