transaction_id,card_id,amount,merchant_name,merchant_category,transaction_date,location,status
3001,420,4569,bookmyshow,entertainment,2025-01-18,ahmedabad,completed
3002,450,6954,paytm,finance,2025-01-24,kolkata,completed
3003,153,8422,reliance digital,electronics,2025-01-19,pune,failed
3004,264,9966,lenskart,eyewear,2025-02-17,cochin,pending
3005,475,9233,amazon,ecommerce,2025-01-11,kolkata,failed
3006,428,8408,swiggy,food,2025-02-20,nagpur,pending
3007,12,3580,paytm,finance,2025-01-09,hyderabad,completed
3008,81,7840,lenskart,eyewear,2025-01-24,hyderabad,completed
3009,279,3467,dominos,food,2025-02-26,jaipur,pending
3010,332,727,croma,electronics,2025-01-08,kolkata,completed
3011,466,8652,tata cliq,ecommerce,2025-03-03,bangalore,pending
3012,163,2609,big bazaar,retail,2025-02-22,jaipur,pending
3013,158,1017,flipkart,ecommerce,2025-01-21,delhi,pending
3014,386,2490,hdfc bank,banking,2025-02-14,nagpur,completed
3015,94,8620,hdfc bank,banking,2025-02-19,hyderabad,completed
3016,191,1725,paytm,finance,2025-01-04,mumbai,failed
3017,358,6867,reliance digital,electronics,2025-01-13,mumbai,failed
3018,268,1198,swiggy,food,2025-01-30,hyderabad,pending
3019,300,1897,swiggy,food,2025-01-06,cochin,completed
3020,310,2775,swiggy,food,2025-01-20,pune,failed
3021,485,2638,nykaa,beauty,2025-01-31,nagpur,pending
3022,497,9713,big bazaar,retail,2025-02-18,nagpur,failed
3023,108,9309,snapdeal,ecommerce,2025-01-29,nagpur,pending
3024,12,2478,nykaa,beauty,2025-02-23,pune,pending
3025,174,6425,amazon,ecommerce,2025-02-17,jaipur,completed
3026,406,113,jabong,ecommerce,2025-02-04,delhi,failed
3027,307,6527,amazon,ecommerce,2025-01-10,mumbai,failed
3028,44,6845,amazon,ecommerce,2025-02-27,mumbai,failed
3029,458,3223,bookmyshow,entertainment,2025-02-10,mumbai,failed
3030,41,5741,hdfc bank,banking,2025-01-09,bangalore,completed
3031,74,4313,croma,electronics,2025-02-21,jaipur,completed
3032,468,3133,paytm,finance,2025-01-23,nagpur,pending
3033,344,520,big bazaar,retail,2025-02-02,hyderabad,pending
3034,125,3261,nykaa,beauty,2025-02-24,delhi,pending
3035,75,4347,lenskart,eyewear,2025-01-11,pune,pending
3036,290,5187,zomato,food,2025-01-19,mumbai,failed
3037,408,6628,big bazaar,retail,2025-02-26,surat,failed
3038,319,7610,zomato,food,2025-02-03,jaipur,pending
3039,195,5667,reliance digital,electronics,2025-02-22,ahmedabad,pending
3040,433,7884,big bazaar,retail,2025-02-08,cochin,completed
3041,418,8067,tata cliq,ecommerce,2025-02-07,pune,completed
3042,415,1467,swiggy,food,2025-02-20,chennai,pending
3043,362,6865,croma,electronics,2025-01-19,bangalore,failed
3044,334,6629,amazon,ecommerce,2025-02-13,chennai,pending
3045,487,9927,jabong,ecommerce,2025-01-13,nagpur,pending
3046,414,5350,hdfc bank,banking,2025-01-06,delhi,completed
3047,45,9731,dominos,food,2025-02-21,surat,completed
3048,293,3528,jabong,ecommerce,2025-01-16,mumbai,failed
3049,255,2785,myntra,fashion,2025-02-02,kolkata,completed
3050,493,3984,amazon,ecommerce,2025-02-17,jaipur,pending
3051,192,8983,myntra,fashion,2025-01-23,hyderabad,failed
3052,345,4620,dominos,food,2025-01-09,delhi,pending
3053,349,6899,myntra,fashion,2025-01-19,mumbai,failed
3054,241,891,dominos,food,2025-01-10,cochin,failed
3055,81,5996,hdfc bank,banking,2025-02-13,hyderabad,completed
3056,500,6943,lenskart,eyewear,2025-01-28,bangalore,failed
3057,343,3986,dominos,food,2025-01-10,nagpur,pending
3058,461,1117,myntra,fashion,2025-03-05,ahmedabad,pending
3059,469,7753,flipkart,ecommerce,2025-02-11,jaipur,failed
3060,119,525,myntra,fashion,2025-02-06,surat,completed
3061,452,6478,nykaa,beauty,2025-01-01,delhi,completed
3062,350,7140,flipkart,ecommerce,2025-01-18,nagpur,failed
3063,35,1271,bookmyshow,entertainment,2025-01-09,cochin,completed
3064,492,1953,zomato,food,2025-02-28,chennai,completed
3065,306,4412,croma,electronics,2025-01-28,cochin,completed
3066,89,2618,big bazaar,retail,2025-02-21,jaipur,failed
3067,456,8147,zomato,food,2025-01-29,ahmedabad,completed
3068,336,1942,dominos,food,2025-02-03,bangalore,failed
3069,24,1437,nykaa,beauty,2025-02-17,cochin,pending
3070,105,1891,tata cliq,ecommerce,2025-02-09,chennai,failed
3071,497,9221,zomato,food,2025-02-24,kolkata,pending
3072,219,6805,flipkart,ecommerce,2025-01-09,delhi,completed
3073,39,2881,croma,electronics,2025-02-01,jaipur,completed
3074,186,5702,amazon,ecommerce,2025-01-02,kolkata,completed
3075,52,2953,swiggy,food,2025-01-10,surat,pending
3076,68,1959,reliance digital,electronics,2025-02-20,ahmedabad,pending
3077,458,685,reliance digital,electronics,2025-01-01,jaipur,failed
3078,335,4939,jabong,ecommerce,2025-01-11,cochin,pending
3079,389,5334,flipkart,ecommerce,2025-02-17,delhi,failed
3080,19,7192,jabong,ecommerce,2025-02-05,chennai,completed
3081,290,1303,lenskart,eyewear,2025-01-15,hyderabad,failed
3082,400,9135,amazon,ecommerce,2025-02-28,delhi,pending
3083,266,8583,reliance digital,electronics,2025-01-14,bangalore,failed
3084,180,8732,big bazaar,retail,2025-02-11,jaipur,failed
3085,304,1195,jabong,ecommerce,2025-01-14,nagpur,pending
3086,347,8930,dominos,food,2025-01-18,delhi,completed
3087,46,5421,lenskart,eyewear,2025-01-13,pune,pending
3088,34,670,croma,electronics,2025-03-05,hyderabad,pending
3089,43,8957,reliance digital,electronics,2025-01-19,pune,failed
3090,22,5883,nykaa,beauty,2025-02-19,delhi,failed
3091,213,2470,dominos,food,2025-02-06,nagpur,pending
3092,456,9874,big bazaar,retail,2025-02-10,cochin,pending
3093,90,4584,paytm,finance,2025-02-28,pune,completed
3094,50,4637,amazon,ecommerce,2025-03-04,kolkata,failed
3095,87,3319,tata cliq,ecommerce,2025-02-13,hyderabad,pending
3096,139,8666,snapdeal,ecommerce,2025-01-22,kolkata,failed
3097,459,6672,flipkart,ecommerce,2025-02-05,pune,completed
3098,268,2426,big bazaar,retail,2025-03-03,nagpur,failed
3099,240,9359,amazon,ecommerce,2025-02-12,nagpur,pending
3100,160,7260,bookmyshow,entertainment,2025-01-16,hyderabad,failed
3101,97,7059,snapdeal,ecommerce,2025-01-23,chennai,pending
3102,58,3035,croma,electronics,2025-02-08,delhi,pending
3103,440,750,flipkart,ecommerce,2025-03-03,nagpur,completed
3104,169,9293,zomato,food,2025-01-06,pune,pending
3105,354,3207,lenskart,eyewear,2025-01-27,surat,completed
3106,330,260,paytm,finance,2025-02-24,kolkata,pending
3107,87,1940,big bazaar,retail,2025-02-10,jaipur,failed
3108,194,7811,croma,electronics,2025-02-06,jaipur,completed
3109,125,3437,dominos,food,2025-01-11,kolkata,pending
3110,181,8967,tata cliq,ecommerce,2025-01-01,nagpur,completed
3111,352,5312,zomato,food,2025-01-04,chennai,failed
3112,106,4259,myntra,fashion,2025-02-08,pune,failed
3113,332,7207,reliance digital,electronics,2025-02-20,chennai,completed
3114,205,4899,amazon,ecommerce,2025-01-31,kolkata,failed
3115,314,1471,snapdeal,ecommerce,2025-02-07,delhi,pending
3116,487,9159,snapdeal,ecommerce,2025-02-23,pune,pending
3117,481,7360,lenskart,eyewear,2025-01-14,bangalore,pending
3118,303,3663,big bazaar,retail,2025-01-05,cochin,failed
3119,83,5248,dominos,food,2025-02-09,cochin,completed
3120,415,6125,hdfc bank,banking,2025-01-24,chennai,completed
3121,109,4568,flipkart,ecommerce,2025-02-03,chennai,pending
3122,126,901,jabong,ecommerce,2025-01-12,pune,completed
3123,370,7243,dominos,food,2025-01-05,pune,completed
3124,131,5324,big bazaar,retail,2025-01-06,jaipur,pending
3125,63,374,swiggy,food,2025-01-17,nagpur,pending
3126,252,548,amazon,ecommerce,2025-01-15,jaipur,pending
3127,321,7833,zomato,food,2025-03-02,bangalore,completed
3128,51,7341,myntra,fashion,2025-01-15,jaipur,pending
3129,167,6982,tata cliq,ecommerce,2025-01-01,kolkata,completed
3130,307,2465,swiggy,food,2025-02-14,jaipur,pending
3131,463,5457,dominos,food,2025-02-24,hyderabad,failed
3132,382,3191,croma,electronics,2025-02-07,delhi,completed
3133,424,1995,dominos,food,2025-01-07,jaipur,completed
3134,365,7493,tata cliq,ecommerce,2025-02-13,nagpur,failed
3135,247,1558,croma,electronics,2025-02-07,pune,pending
3136,359,6149,zomato,food,2025-01-15,nagpur,pending
3137,380,8377,zomato,food,2025-01-05,ahmedabad,completed
3138,85,8287,paytm,finance,2025-01-13,surat,completed
3139,150,3535,zomato,food,2025-02-19,chennai,pending
3140,277,3249,bookmyshow,entertainment,2025-02-18,nagpur,failed
3141,348,7883,bookmyshow,entertainment,2025-01-23,jaipur,failed
3142,313,7240,dominos,food,2025-02-03,nagpur,completed
3143,37,7522,myntra,fashion,2025-01-14,delhi,failed
3144,213,7518,myntra,fashion,2025-02-09,bangalore,pending
3145,427,6144,lenskart,eyewear,2025-01-28,mumbai,completed
3146,82,1131,jabong,ecommerce,2025-02-25,delhi,completed
3147,97,7853,croma,electronics,2025-02-10,mumbai,failed
3148,305,4105,snapdeal,ecommerce,2025-01-30,chennai,completed
3149,390,177,croma,electronics,2025-02-17,cochin,failed
3150,217,7876,reliance digital,electronics,2025-01-04,chennai,failed
3151,373,4718,snapdeal,ecommerce,2025-02-17,mumbai,failed
3152,12,5655,jabong,ecommerce,2025-01-11,bangalore,failed
3153,240,1962,amazon,ecommerce,2025-01-07,jaipur,completed
3154,439,552,swiggy,food,2025-01-16,jaipur,completed
3155,212,7073,nykaa,beauty,2025-01-20,chennai,pending
3156,430,8620,myntra,fashion,2025-01-20,delhi,completed
3157,27,4315,myntra,fashion,2025-03-04,bangalore,pending
3158,157,5652,croma,electronics,2025-03-04,nagpur,failed
3159,89,9700,flipkart,ecommerce,2025-02-26,hyderabad,failed
3160,281,4122,nykaa,beauty,2025-02-27,delhi,completed
3161,477,5495,reliance digital,electronics,2025-01-03,nagpur,pending
3162,402,7328,bookmyshow,entertainment,2025-03-04,kolkata,failed
3163,449,7283,hdfc bank,banking,2025-02-14,kolkata,completed
3164,17,7970,flipkart,ecommerce,2025-01-25,surat,pending
3165,289,8910,dominos,food,2025-01-14,surat,failed
3166,348,9926,tata cliq,ecommerce,2025-02-08,hyderabad,completed
3167,464,5102,lenskart,eyewear,2025-01-13,surat,failed
3168,257,4399,dominos,food,2025-01-15,hyderabad,completed
3169,337,500,hdfc bank,banking,2025-03-02,delhi,completed
3170,17,570,nykaa,beauty,2025-02-25,jaipur,failed
3171,329,6186,swiggy,food,2025-02-25,nagpur,pending
3172,469,869,snapdeal,ecommerce,2025-01-06,delhi,failed
3173,61,2852,dominos,food,2025-01-14,nagpur,completed
3174,34,1608,nykaa,beauty,2025-01-11,hyderabad,pending
3175,53,3331,lenskart,eyewear,2025-03-01,surat,failed
3176,253,436,hdfc bank,banking,2025-02-16,chennai,failed
3177,462,2563,jabong,ecommerce,2025-03-03,nagpur,pending
3178,428,5016,myntra,fashion,2025-02-16,bangalore,failed
3179,301,3205,jabong,ecommerce,2025-03-01,delhi,completed
3180,148,5532,jabong,ecommerce,2025-02-19,mumbai,failed
3181,194,8948,hdfc bank,banking,2025-01-23,bangalore,failed
3182,229,6138,amazon,ecommerce,2025-01-16,mumbai,completed
3183,101,8928,zomato,food,2025-01-02,hyderabad,failed
3184,252,5182,hdfc bank,banking,2025-02-28,pune,completed
3185,125,3341,nykaa,beauty,2025-02-01,hyderabad,pending
3186,410,6443,myntra,fashion,2025-01-23,ahmedabad,failed
3187,264,948,lenskart,eyewear,2025-02-03,nagpur,failed
3188,197,122,swiggy,food,2025-01-03,mumbai,pending
3189,94,4842,croma,electronics,2025-03-04,nagpur,failed
3190,330,8520,zomato,food,2025-03-02,kolkata,pending
3191,463,4745,hdfc bank,banking,2025-02-28,hyderabad,pending
